requestedUrl,finalUrl,category,name,title,type,score
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","link-text","Links have descriptive text","binary","1"
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","crawlable-anchors","Links are crawlable","binary","1"
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","is-crawlable","Page isn’t blocked from indexing","binary","1"
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","robots-txt","robots.txt is valid","notApplicable","-1"
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","image-alt","Image elements have `[alt]` attributes","notApplicable","-1"
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","hreflang","Document has a valid `hreflang`","binary","1"
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","canonical","Document has a valid `rel=canonical`","notApplicable","-1"
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","font-size","Document uses legible font sizes","binary","1"
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","plugins","Document avoids plugins","binary","1"
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","tap-targets","Tap targets are sized appropriately","binary","1"
"http://127.0.0.1:5500/dist/en/","http://127.0.0.1:5500/dist/en/","SEO","structured-data","Structured data is valid","manual","-1"requestedUrl,finalUrl,category,name,title,type,score
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","performance-score","Overall Performance Category Score","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","first-contentful-paint","First Contentful Paint","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","speed-index","Speed Index","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","interactive","Time to Interactive","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.89"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","uses-responsive-images","Properly size images","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","unminified-css","Minify CSS","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","unused-javascript","Reduce unused JavaScript","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","uses-text-compression","Enable text compression","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","server-response-time","Initial server response time was short","binary","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","redirects","Avoid multiple page redirects","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","uses-http2","Use HTTP/2","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","bootup-time","JavaScript execution time","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","mainthread-work-breakdown","Minimizes main-thread work","numeric","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","font-display","All text remains visible during webfont loads","binary","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","performance-budget","Performance budget","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","timing-budget","Timing budget","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","third-party-summary","Minimize third-party usage","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","layout-shift-elements","Avoid large layout shifts","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","no-document-write","Avoids `document.write()`","binary","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","long-tasks","Avoid long main-thread tasks","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","network-requests","Network Requests","informative","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","network-rtt","Network Round Trip Times","informative","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","main-thread-tasks","Tasks","informative","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","diagnostics","Diagnostics","informative","-1"
"http://127.0.0.1:5500/dist/es/","http://127.0.0.1:5500/dist/es/","Performance","metrics","Metrics","informative","-1"
